step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
89,28872,712,0.04808555510950101,0.75,0.75,0.02246065546908539,0.75,0.75,,,,,,
90,29136,720,0.05067753028808511,0.75,0.75,,,,,,,,,
91,29336,728,0.05815742209912666,0.625,0.625,,,,,,,,,
92,29600,736,0.03577552618131448,0.875,0.875,,,,,,,,,
93,30056,744,0.03412987333980189,0.375,0.375,,,,,,,,,
94,30384,752,0.04473626552673522,0.625,0.625,,,,,,,,,
95,30904,760,0.030536824997689106,0.375,0.375,,,,,,,,,
96,31168,768,0.04446572064356588,1.0,1.0,,,,,,,,,
97,31432,776,0.03826478217328258,0.75,0.75,0.03929212176369038,0.875,0.875,,,,,,
98,31696,784,0.047193795140192375,0.75,0.75,,,,,,,,,
99,32024,792,0.04009004663338418,0.875,0.875,,,,,,,,,
100,32416,800,0.04099085835681763,0.75,0.75,,,,,,,,,
101,33000,808,0.02097076905962442,0.875,0.875,,,,,,,,,
102,33392,816,0.03695768250669061,0.625,0.625,,,,,,,,,
103,33592,824,0.05677970615923792,0.625,0.625,,,,,,,,,
104,33856,832,0.04677429600840696,0.625,0.625,,,,,,,,,
105,34184,840,0.045444178802426904,0.75,0.75,0.04953753923662589,0.625,0.625,,,,,,
106,34512,848,0.05667604830866914,0.5,0.5,,,,,,,,,
107,34776,856,0.05079466098097327,0.625,0.625,,,,,,,,,
108,35296,864,0.020149949987053332,0.875,0.875,,,,,,,,,
109,35496,872,0.04908792930577571,0.875,0.875,,,,,,,,,
110,36016,880,0.024754118293185457,1.0,1.0,,,,,,,,,
111,36280,888,0.055568202152499004,0.625,0.625,,,,,,,,,
112,36544,896,0.04690163126360858,0.75,0.75,,,,,,,,,
113,36936,904,0.03230863643295986,0.875,0.875,0.06736282123136335,0.75,0.75,,,,,,
114,37328,912,0.034472935323113546,0.625,0.625,,,,,,,,,
115,37656,920,0.05092881966251297,0.625,0.625,,,,,,,,,
116,37984,928,0.03660964659898309,0.875,0.875,,,,,,,,,
117,38440,936,0.04228145480324331,0.625,0.625,,,,,,,,,
118,38768,944,0.041854131292551756,0.5,0.5,,,,,,,,,
119,39032,952,0.0453358426563409,0.625,0.625,,,,,,,,,
120,39424,960,0.0348757635113725,0.75,0.75,,,,,,,,,
